antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_str,consequent_str
"frozenset({'target_inappropriate', 'uth_oui'})","frozenset({'level_haut', 'reason_treatment'})",0.41088788075178223,0.6694750486066104,0.34154244977316917,0.831230283911672,1.2416150320190804,1.0,0.06646326583500262,1.9584375624617667,0.3303231651438391,0.462280701754386,0.4893888785798233,0.6706974265637741,"target_inappropriate, uth_oui","level_haut, reason_treatment"
"frozenset({'uth_oui', 'age_adulte'})","frozenset({'level_haut', 'reason_treatment'})",0.24044069993519118,0.6694750486066104,0.19961114711600778,0.8301886792452831,1.24005917916309,1.0,0.03864209783988823,1.9464247137610722,0.2548673596028546,0.28102189781021897,0.48623751387347414,0.5641746881221575,"uth_oui, age_adulte","level_haut, reason_treatment"
"frozenset({'age_tout_petit', 'level_haut'})",frozenset({'uth_oui'}),0.13674659753726506,0.7077122488658457,0.11989630589760207,0.8767772511848342,1.2388894675624536,1.0,0.0231190638297515,2.372027518819484,0.22337066796526267,0.16547406082289803,0.5784197307720602,0.5230955852993768,"age_tout_petit, level_haut",uth_oui
"frozenset({'level_haut', 'attendance_review'})",frozenset({'uth_oui'}),0.356448476992871,0.7077122488658457,0.31108230719377833,0.8727272727272727,1.233166833166833,1.0,0.05881935393634791,2.2965466160540684,0.2938066465256797,0.41308089500860584,0.5645635960491835,0.6561438561438562,"level_haut, attendance_review",uth_oui
"frozenset({'target_appropriate', 'spec_otology'})","frozenset({'level_haut', 'uth_oui'})",0.1218405703175632,0.7070641607258588,0.10563836681788723,0.8670212765957446,1.2262271583750997,1.0,0.019489266223939428,2.20287751134154,0.21008761007855464,0.14605734767025086,0.5460482959894554,0.5082127464555258,"target_appropriate, spec_otology","level_haut, uth_oui"
"frozenset({'target_appropriate', 'spec_otology'})",frozenset({'uth_oui'}),0.1218405703175632,0.7077122488658457,0.10563836681788723,0.8670212765957446,1.2251042397318992,1.0,0.019410302795347376,2.1980038885288384,0.20923641138251878,0.1459265890778872,0.545041751191206,0.5081443379315719,"target_appropriate, spec_otology",uth_oui
"frozenset({'uth_oui', 'attendance_first', 'age_adulte'})","frozenset({'level_haut', 'reason_treatment'})",0.15035644847699287,0.6694750486066104,0.12313674659753726,0.8189655172413793,1.223295056247288,1.0,0.02247685594508514,1.8257568743634853,0.21483801035770206,0.17674418604651163,0.45228194726166343,0.5014479086690924,"uth_oui, attendance_first, age_adulte","level_haut, reason_treatment"
"frozenset({'target_inappropriate', 'uth_oui', 'spec_head_neck'})","frozenset({'level_haut', 'reason_treatment'})",0.1594296824368114,0.6694750486066104,0.12961762799740764,0.8130081300813008,1.2143964614863962,1.0,0.02288343359868686,1.7675899574516047,0.21003084040092526,0.18535681186283595,0.4342579308146023,0.5033094861442322,"target_inappropriate, uth_oui, spec_head_neck","level_haut, reason_treatment"
"frozenset({'level_haut', 'attendance_review', 'reason_treatment'})",frozenset({'uth_oui'}),0.2838626053143227,0.7077122488658457,0.24303305249513935,0.8561643835616439,1.209763410105876,1.0,0.04214000971922205,2.0320957935993595,0.242121266968326,0.3246753246753247,0.5078972147131189,0.5997854884841187,"level_haut, attendance_review, reason_treatment",uth_oui
"frozenset({'target_inappropriate', 'uth_oui', 'attendance_first'})","frozenset({'level_haut', 'reason_treatment'})",0.24173687621516526,0.6694750486066104,0.19572261827608556,0.8096514745308311,1.2093825994202057,1.0,0.03388581132192761,1.73641981506668,0.22832682402218835,0.27355072463768115,0.42410240235504393,0.5510019231318241,"target_inappropriate, uth_oui, attendance_first","level_haut, reason_treatment"
